route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"101",1612_PO,1612_8603,"Kopiec Kościuszki",,0,101-01,1044597,0,0
"101",1613_PO,1613_20335,"Kopiec Kościuszki",,0,101-01,1046280,0,0
"100",1612_PO,1612_8606,"Plac Na Stawach",,1,101-01,1044554,0,0
"100",1613_PO,1613_20338,"Plac Na Stawach",,1,101-01,1046240,0,0
"100",1612_PO,1612_8610,"Kopiec Kościuszki",,0,101-01,1044555,0,0
"100",1613_PO,1613_20341,"Kopiec Kościuszki",,0,101-01,1046239,0,0
"101",1612_PO,1612_8615,"Os. Podwawelskie",,1,101-01,1044595,0,0
"101",1613_PO,1613_20344,"Os. Podwawelskie",,1,101-01,1046281,0,0
"101",1612_PO,1612_8618,"Kopiec Kościuszki",,0,101-01,1044597,0,0
"101",1613_PO,1613_20347,"Kopiec Kościuszki",,0,101-01,1046280,0,0
"100",1612_PO,1612_8622,"Plac Na Stawach",,1,101-01,1044554,0,0
"100",1613_PO,1613_20350,"Plac Na Stawach",,1,101-01,1046240,0,0
"100",1612_PO,1612_8627,"Kopiec Kościuszki",,0,101-01,1044555,0,0
"100",1613_PO,1613_20352,"Kopiec Kościuszki",,0,101-01,1046239,0,0
"101",1612_PO,1612_8630,"Os. Podwawelskie",,1,101-01,1044595,0,0
"101",1613_PO,1613_20355,"Os. Podwawelskie",,1,101-01,1046281,0,0
"101",1612_PO,1612_8635,"Kopiec Kościuszki",,0,101-01,1044597,0,0
"101",1613_PO,1613_20358,"Kopiec Kościuszki",,0,101-01,1046280,0,0
"100",1612_PO,1612_8638,"Plac Na Stawach",,1,101-01,1044554,0,0
"100",1613_PO,1613_20361,"Plac Na Stawach",,1,101-01,1046240,0,0
"100",1612_PO,1612_8643,"Kopiec Kościuszki",,0,101-01,1044555,0,0
"100",1613_PO,1613_20364,"Kopiec Kościuszki",,0,101-01,1046239,0,0
"101",1612_PO,1612_8644,"Os. Podwawelskie",,1,101-01,1044595,0,0
"101",1613_PO,1613_20367,"Os. Podwawelskie",,1,101-01,1046281,0,0
"101",1612_PO,1612_8651,"Kopiec Kościuszki",,0,101-01,1044597,0,0
"101",1613_PO,1613_20370,"Kopiec Kościuszki",,0,101-01,1046280,0,0
"100",1612_PO,1612_8652,"Plac Na Stawach",,1,101-01,1044554,0,0
"100",1613_PO,1613_20373,"Plac Na Stawach",,1,101-01,1046240,0,0
"100",1612_PO,1612_8656,"Kopiec Kościuszki",,0,101-01,1044555,0,0
"100",1613_PO,1613_20376,"Kopiec Kościuszki",,0,101-01,1046239,0,0
"101",1612_PO,1612_8663,"Os. Podwawelskie",,1,101-01,1044595,0,0
"101",1613_PO,1613_20379,"Os. Podwawelskie",,1,101-01,1046281,0,0
"101",1612_PO,1612_8664,"Kopiec Kościuszki",,0,101-01,1044597,0,0
"101",1613_PO,1613_20382,"Kopiec Kościuszki",,0,101-01,1046280,0,0
"100",1612_PO,1612_8669,"Plac Na Stawach",,1,101-01,1044554,0,0
"100",1613_PO,1613_20385,"Plac Na Stawach",,1,101-01,1046240,0,0
"100",1612_PO,1612_8673,"Kopiec Kościuszki",,0,101-01,1044555,0,0
"100",1613_PO,1613_20388,"Kopiec Kościuszki",,0,101-01,1046239,0,0
"101",1612_PO,1612_8677,"Os. Podwawelskie",,1,101-01,1044595,0,0
"101",1613_PO,1613_20391,"Os. Podwawelskie",,1,101-01,1046281,0,0
"101",1612_PO,1612_8681,"Kopiec Kościuszki",,0,101-01,1044597,0,0
"101",1613_PO,1613_20394,"Kopiec Kościuszki",,0,101-01,1046280,0,0
"100",1612_PO,1612_8685,"Plac Na Stawach",,1,101-01,1044554,0,0
"100",1613_PO,1613_20397,"Plac Na Stawach",,1,101-01,1046240,0,0
"100",1612_PO,1612_8691,"Kopiec Kościuszki",,0,101-01,1044555,0,0
"100",1613_PO,1613_20399,"Kopiec Kościuszki",,0,101-01,1046239,0,0
"101",1612_PO,1612_8695,"Os. Podwawelskie",,1,101-01,1044595,0,0
